id,title,artist,composer,lyricist,arranger,producer,year,bpm
OSOxqVLeZljo1glSXRR5,"Miss you in my ways","Nancy Kwai 歸綽嶢","Wilson Chow","亞木","","",,
OTUOSutNrBdkIfKQfihm,"誰來剪月光","陳奕迅","馮穎琪","易家揚","","",,
OV2mequzYpAU89Do9lqP,"張美儀 沙堆","Unknown","楊振邦","方杰","","",,
P2SUJpByBEZVkQUjjyVP,"徐天佑 密陽","Unknown","徐天佑","林若寧","","",,
PHnlAWvL4OmzMBlcIuBr,"逆行","謝霆鋒","謝霆鋒 作","喬星","","",,
Pqz551lZgg2StdEC3tQ0,"男孩子不要流淚 結他CHORD譜","ROVER","ROVER 填","小克","","",,
Pwg9OqKnDKliP9CH4SQ8,"誰伴我闖蕩","Beyond","黃家駒","劉卓輝","","",,
Q4c5IviYhdCgko7Y0ToI,"自我催眠 周殷廷","Unknown","Yan","林若寧","","",,
Qiu7qzG6TfYp4VJxpSor,"人若然忘記了愛","鄭中基","古倩敏","古倩敏","","",,
R4om8HSL88zMUamksOKH,"不遲不早 Sooner or later","陳健安 On Chan","陳健安 / 賴映彤","周耀輝","","",,
RYh5Bn90oJXJec3Dx3bu,"鄭俊弘 真心真意","何雁詩","張家誠","張美賢","","",,
RomjV8jP7fZI9YVdQR40,"林峯","古天樂","趙增熹","林夕","","",,
SNtz1MfeWl8XPE5Mv6g0,"On Chan 繼續繼續 on and on","陳健安","陳健安","Oscar 4/4","","",,
Se1WcARnBvCt0MMB3cdU,"愛不曾遺忘任何人","王菀之","王菀之","小克","","",,
UnAoYcwuEDDSaznxtWCr,"& Kendy 月湖","Robynn","Kendy Suen","林一峰","","",,
VjvrZsDkx1u1C9hpNUBu,"十八相送","何韻詩","曾奕文","黃偉文","","",,
WC1vRzAZfNaIOrVMAMAZ,"房東的貓 美好事物","Unknown","房東的貓","一隻然","","",,
WGegbf4evY2BhxMe6k39,"細看近年，那信念","Joey Thye 戴祖儀","Austin Leung","Austin","","",,
WeMYfuEt0CpRAtAORu4x,"張美儀 沙堆","Unknown","楊振邦","方杰","","",,
X6lkAvoI7GxsGjqNDV21,"天梯","C Allstar","賴映彤@groovision","鍾晴","","",,
XRkyjZG5EWAhG5g1xY4E,"愛的呼喚","郭富城","譚國政","小美","","",,
XX9YoWlQHqvbTfgNDDaX,"問多一次","Tiger 邱傲然","天衡","Oscar 編: 天衡 監: 天衡","","",,
XwB4FKBdAfy2Z6VXCDGn,"歌頌","陳奕迅","王雙駿","林夕","","",,
XwQb8zlF54buocmT78P1,"湯寶如  相思風雨中","張學友","徐日勤","簡寧","","",,
Z0mgmAnwUw8OxRPXQn5I,"MC 東邪","MC 張天賦","Larry Wong","林若寧","","",,
